Hour,DayOfWeek,IsHoliday,WeatherCondition,IntersectionID,VehicleCount
20.0,Saturday,Yes,Clear,A,90
,Tuesday,Yes,Snowy,C,87
0.0,Tuesday,No,Rainy,C,43
12.0,Sunday,No,Snowy,D,240
9.0,Friday,No,Clear,B,234
2.0,Sunday,No,Foggy,C,10
8.0,Saturday,Yes,Rainy,D,72
20.0,Tuesday,Yes,Clear,D,95
6.0,Friday,No,Snowy,D,10
4.0,Friday,No,Snowy,B,10
2.0,Sunday,Yes,Snowy,D,10
14.0,Friday,Yes,Clear,C,221
10.0,Thursday,Yes,Foggy,B,80
3.0,Wednesday,Yes,Rainy,A,10
,Wednesday,No,Rainy,A,255
15.0,Sunday,Yes,Snowy,B,94
19.0,Tuesday,Yes,Snowy,C,10
16.0,Tuesday,,Rainy,A,296
20.0,Monday,No,Rainy,D,142
4.0,Friday,Yes,Snowy,A,10
11.0,Thursday,Yes,Clear,C,215
3.0,Tuesday,Yes,Foggy,A,10
17.0,Saturday,Yes,Rainy,D,147
12.0,Tuesday,No,Snowy,D,181
9.0,Monday,Yes,Clear,D,108
16.0,Friday,Yes,Clear,B,212
18.0,Friday,Yes,Foggy,B,52
10.0,Thursday,No,,A,283
6.0,Tuesday,Yes,Foggy,D,10
22.0,Sunday,Yes,Foggy,A,10
4.0,Monday,Yes,Rainy,B,10
8.0,Wednesday,Yes,Snowy,,10
4.0,Wednesday,No,Snowy,A,10
22.0,Friday,No,Rainy,A,64
1.0,Tuesday,Yes,Snowy,B,10
7.0,Sunday,,Foggy,D,57
23.0,Wednesday,Yes,Clear,B,10
14.0,Sunday,Yes,Rainy,C,151
8.0,Friday,No,Clear,C,173
8.0,Friday,No,Clear,B,204
22.0,Friday,Yes,Clear,C,20
21.0,Saturday,No,Foggy,C,85
6.0,Thursday,Yes,Foggy,A,10
6.0,Friday,No,Snowy,D,10
23.0,Monday,No,Rainy,B,24
,Tuesday,Yes,Rainy,D,156
7.0,,Yes,Rainy,D,10
7.0,Monday,No,Foggy,D,102
23.0,Thursday,No,Snowy,B,10
8.0,Friday,Yes,Clear,B,45
10.0,Monday,Yes,Rainy,A,121
10.0,Thursday,No,Clear,D,267
11.0,Thursday,No,Rainy,C,253
0.0,Saturday,No,Snowy,A,10
18.0,Monday,No,Snowy,C,176
6.0,Wednesday,No,Snowy,A,24
23.0,Wednesday,Yes,Clear,B,10
0.0,Tuesday,Yes,Rainy,C,10
5.0,Saturday,Yes,Clear,C,10
12.0,Saturday,Yes,Foggy,A,149
18.0,Wednesday,No,,D,265
3.0,Wednesday,No,Snowy,C,10
17.0,Thursday,No,Rainy,A,244
14.0,Thursday,No,Snowy,B,206
11.0,Wednesday,No,Rainy,D,282
7.0,Saturday,No,Clear,D,188
9.0,Wednesday,No,Foggy,D,157
8.0,Saturday,Yes,Rainy,D,60
18.0,Friday,Yes,Foggy,B,82
22.0,Wednesday,Yes,Rainy,D,10
0.0,Thursday,No,Clear,D,77
2.0,Monday,Yes,Foggy,B,10
13.0,Sunday,No,Snowy,D,224
19.0,Saturday,Yes,Foggy,B,70
17.0,Monday,No,Rainy,C,214
14.0,Tuesday,Yes,Rainy,C,206
2.0,Sunday,No,Snowy,D,10
16.0,Thursday,Yes,Foggy,A,124
21.0,Friday,Yes,Foggy,B,10
20.0,Wednesday,No,Snowy,D,40
10.0,Monday,No,Snowy,D,151
17.0,Monday,No,Snowy,A,193
17.0,Monday,No,Snowy,A,216
17.0,Wednesday,No,Rainy,C,256
17.0,Tuesday,Yes,Clear,B,170
22.0,Saturday,No,Rainy,B,75
19.0,Tuesday,No,Snowy,C,137
9.0,Sunday,No,Snowy,C,125
17.0,Wednesday,Yes,Rainy,D,135
23.0,Sunday,Yes,Clear,C,10
14.0,,Yes,Rainy,C,192
22.0,Monday,No,Snowy,A,24
7.0,Wednesday,Yes,Clear,A,27
22.0,Monday,Yes,Foggy,B,10
18.0,Tuesday,Yes,Snowy,B,27
18.0,Thursday,No,Clear,D,246
21.0,Monday,No,Foggy,D,87
